customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
1,1,MARY,SMITH,MARY.SMITH@SAKILACUSTOMER.ORG,5,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@SAKILACUSTOMER.ORG,6,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@SAKILACUSTOMER.ORG,7,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
4,2,BARBARA,JONES,BARBARA.JONES@SAKILACUSTOMER.ORG,8,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@SAKILACUSTOMER.ORG,9,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@SAKILACUSTOMER.ORG,10,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
7,1,MARIA,MILLER,MARIA.MILLER@SAKILACUSTOMER.ORG,11,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
8,2,SUSAN,WILSON,SUSAN.WILSON@SAKILACUSTOMER.ORG,12,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
9,2,MARGARET,MOORE,MARGARET.MOORE@SAKILACUSTOMER.ORG,13,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@SAKILACUSTOMER.ORG,14,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
11,2,LISA,ANDERSON,LISA.ANDERSON@SAKILACUSTOMER.ORG,15,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
12,1,NANCY,THOMAS,NANCY.THOMAS@SAKILACUSTOMER.ORG,16,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
13,2,KAREN,JACKSON,KAREN.JACKSON@SAKILACUSTOMER.ORG,17,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
14,2,BETTY,WHITE,BETTY.WHITE@SAKILACUSTOMER.ORG,18,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
15,1,HELEN,HARRIS,HELEN.HARRIS@SAKILACUSTOMER.ORG,19,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
16,2,SANDRA,MARTIN,SANDRA.MARTIN@SAKILACUSTOMER.ORG,20,0,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
17,1,DONNA,THOMPSON,DONNA.THOMPSON@SAKILACUSTOMER.ORG,21,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
18,2,CAROL,GARCIA,CAROL.GARCIA@SAKILACUSTOMER.ORG,22,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@SAKILACUSTOMER.ORG,23,1,2006-02-14T22:04:36.000-05:00,2006-02-15T04:57:20.000-05:00
